"feature","id","pval","qval","reaction","times"
"gene","MSTRG.14551",1.64875661108344e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.58508",3.14788797590726e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.51048",5.87377041063597e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.28116",6.61255260379079e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.56074",6.77481026315485e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.51127",6.8738385209377e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.50235",7.34084167788307e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.2963",8.28967674891823e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.32431",9.02226933483519e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.34703",9.94332490217298e-05,0.150480316929431,"S","72v96"
"gene","MSTRG.34131",0.000101991493137055,0.150480316929431,"S","72v96"
"gene","MSTRG.11666",0.000106647175179941,0.150480316929431,"S","72v96"
"gene","MSTRG.55715",0.000108865364752297,0.150480316929431,"S","72v96"
"gene","MSTRG.70600",0.000120645304884981,0.150480316929431,"S","72v96"
"gene","MSTRG.2245",0.000129672799112801,0.150480316929431,"S","72v96"
"gene","MSTRG.44308",0.000138308413864641,0.150480316929431,"S","72v96"
"gene","MSTRG.19535",0.000148328399395714,0.150480316929431,"S","72v96"
"gene","MSTRG.8800",0.000159913885374063,0.150480316929431,"S","72v96"
"gene","MSTRG.63258",0.000173278679512778,0.150480316929431,"S","72v96"
"gene","MSTRG.68182",0.000176113136066469,0.150480316929431,"S","72v96"
"gene","MSTRG.13091",0.000177195021148879,0.150480316929431,"S","72v96"
"gene","MSTRG.60447",0.000181624067737252,0.150480316929431,"S","72v96"
"gene","MSTRG.14849",0.000202298141574575,0.150480316929431,"S","72v96"
"gene","MSTRG.62825",0.000209241886123146,0.150480316929431,"S","72v96"
"gene","MSTRG.56073",0.000217087965249441,0.150480316929431,"S","72v96"
"gene","MSTRG.2330",0.000217419570853083,0.150480316929431,"S","72v96"
"gene","MSTRG.4385",0.000250314885561931,0.150480316929431,"S","72v96"
"gene","MSTRG.68705",0.000252403194351491,0.150480316929431,"S","72v96"
"gene","MSTRG.23944",0.000282710633312533,0.150480316929431,"S","72v96"
"gene","MSTRG.31224",0.000283413864197946,0.150480316929431,"S","72v96"
"gene","MSTRG.19374",0.000298101367094294,0.150480316929431,"S","72v96"
"gene","MSTRG.30701",0.000302282583110935,0.150480316929431,"S","72v96"
"gene","MSTRG.57236",0.000307309902711106,0.150480316929431,"S","72v96"
"gene","MSTRG.56578",0.000308787932242316,0.150480316929431,"S","72v96"
"gene","MSTRG.25508",0.000313178098311884,0.150480316929431,"S","72v96"
"gene","MSTRG.61386",0.000314053575279472,0.150480316929431,"S","72v96"
"gene","MSTRG.68447",0.000316841809365309,0.150480316929431,"S","72v96"
"gene","MSTRG.57810",0.000319215923758831,0.150480316929431,"S","72v96"
"gene","MSTRG.27855",0.000330210470999015,0.150480316929431,"S","72v96"
"gene","MSTRG.30950",0.000332769846101977,0.150480316929431,"S","72v96"
"gene","MSTRG.51766",0.000339306322540756,0.150480316929431,"S","72v96"
"gene","MSTRG.508",0.000341335395087627,0.150480316929431,"S","72v96"
"gene","MSTRG.64664",0.000343420025709529,0.150480316929431,"S","72v96"
"gene","MSTRG.31708",0.000348056946152253,0.150480316929431,"S","72v96"
"gene","MSTRG.51582",0.000363516552544185,0.150480316929431,"S","72v96"
"gene","MSTRG.33282",0.000372371909486247,0.150480316929431,"S","72v96"
"gene","MSTRG.50234",0.000375682234780239,0.150480316929431,"S","72v96"
"gene","MSTRG.56539",0.000390890338996863,0.150480316929431,"S","72v96"
"gene","MSTRG.63709",0.000394562535843912,0.150480316929431,"S","72v96"
"gene","MSTRG.18368",0.000408747306833268,0.150480316929431,"S","72v96"
"gene","MSTRG.25354",0.00041763137833728,0.150480316929431,"S","72v96"
"gene","MSTRG.60139",0.000420160723972329,0.150480316929431,"S","72v96"
"gene","MSTRG.38610",0.000436732039171606,0.150480316929431,"S","72v96"
"gene","MSTRG.22545",0.000438140366950002,0.150480316929431,"S","72v96"
"gene","MSTRG.24923",0.000455820333086665,0.150480316929431,"S","72v96"
"gene","MSTRG.9738",0.000456415632008822,0.150480316929431,"S","72v96"
"gene","MSTRG.31599",0.000465421471558924,0.150480316929431,"S","72v96"
"gene","MSTRG.59488",0.000476101776492044,0.150480316929431,"S","72v96"
"gene","MSTRG.28902",0.000476815580471524,0.150480316929431,"S","72v96"
"gene","MSTRG.3262",0.000478670890210697,0.150480316929431,"S","72v96"
"gene","MSTRG.40023",0.000483236359922756,0.150480316929431,"S","72v96"
"gene","MSTRG.40850",0.00049545362255321,0.150480316929431,"S","72v96"
"gene","MSTRG.27300",0.000498503093553815,0.150480316929431,"S","72v96"
"gene","MSTRG.1965",0.000500369461267081,0.150480316929431,"S","72v96"
"gene","MSTRG.30025",0.000510148327521165,0.150480316929431,"S","72v96"
"gene","MSTRG.57446",0.000513161335934043,0.150480316929431,"S","72v96"
"gene","MSTRG.30080",0.000516711437518413,0.150480316929431,"S","72v96"
"gene","MSTRG.49941",0.000516792420945933,0.150480316929431,"S","72v96"
"gene","MSTRG.61139",0.000523631093463095,0.150480316929431,"S","72v96"
"gene","MSTRG.71559",0.000533874166072756,0.150480316929431,"S","72v96"
"gene","MSTRG.33535",0.000552050919507163,0.150480316929431,"S","72v96"
"gene","MSTRG.46855",0.000555549298492997,0.150480316929431,"S","72v96"
"gene","MSTRG.19545",0.00056028948600062,0.150480316929431,"S","72v96"
"gene","MSTRG.67581",0.000563914706457669,0.150480316929431,"S","72v96"
"gene","MSTRG.3304",0.000578187950640241,0.150480316929431,"S","72v96"
"gene","MSTRG.24878",0.000584735419294491,0.150480316929431,"S","72v96"
"gene","MSTRG.32833",0.000591840448780467,0.150480316929431,"S","72v96"
"gene","MSTRG.33402",0.000596008016624294,0.150480316929431,"S","72v96"
"gene","MSTRG.29716",0.000625083028076956,0.150480316929431,"S","72v96"
"gene","MSTRG.56075",0.000632535434926806,0.150480316929431,"S","72v96"
"gene","MSTRG.46581",0.000646636943244072,0.150480316929431,"S","72v96"
"gene","MSTRG.62108",0.00064961155983978,0.150480316929431,"S","72v96"
"gene","MSTRG.33087",0.000661025247216562,0.150480316929431,"S","72v96"
"gene","MSTRG.4254",0.000661574995296732,0.150480316929431,"S","72v96"
"gene","MSTRG.27922",0.000663163128103217,0.150480316929431,"S","72v96"
"gene","MSTRG.67020",0.000665609683904389,0.150480316929431,"S","72v96"
"gene","MSTRG.18208",0.000666965752012416,0.150480316929431,"S","72v96"
"gene","MSTRG.28690",0.00067733223840527,0.150480316929431,"S","72v96"
"gene","MSTRG.66847",0.00068275594962719,0.150480316929431,"S","72v96"
"gene","MSTRG.45029",0.000684308269817357,0.150480316929431,"S","72v96"
"gene","MSTRG.62865",0.000689389856021183,0.150480316929431,"S","72v96"
